W,0,12
W,32,25
W,64,7
W,96,18
W,128,29
W,160,3
W,192,10
W,224,14
W,256,5
W,288,8
W,320,17
W,352,21
W,384,23
W,416,9
W,448,16
W,480,4
W,512,2
W,544,19
W,576,20
W,608,11
W,640,15
W,672,6
W,704,28
W,736,30
W,768,13
W,800,1
W,832,24
W,864,27
W,896,26
W,928,22
R,1056,
R,1088,
R,928,
W,1152,22
R,1056,
W,1184,-1
R,1056,
W,1216,0
R,1216,
R,1088,
W,1216,0
R,1152,
R,1216,
W,1184,0
R,0,
R,1184,
R,1216,
R,1184,
R,0,
W,0,12
R,1216,
R,0,
R,1216,
R,1088,
W,1216,1
R,1216,
R,1088,
W,1216,2
R,1152,
R,1216,
W,1184,1
R,32,
R,1184,
R,1216,
R,1184,
R,64,
W,32,7
R,1216,
R,32,
R,1216,
R,1088,
W,1216,3
R,1152,
R,1216,
W,1184,2
R,64,
R,1184,
R,1216,
R,1184,
R,96,
W,64,18
R,1216,
R,64,
R,1216,
R,1088,
W,1216,4
R,1216,
R,1088,
W,1216,5
R,1152,
R,1216,
W,1184,3
R,96,
R,1184,
R,1216,
R,1184,
R,160,
W,96,3
R,1216,
R,96,
R,1216,
R,1088,
W,1216,6
R,1152,
R,1216,
W,1184,4
R,128,
R,1184,
R,1216,
R,1184,
R,192,
W,128,10
R,1216,
R,128,
R,1216,
R,1088,
W,1216,7
R,1152,
R,1216,
W,1184,5
R,160,
R,1184,
R,1216,
R,1184,
R,224,
W,160,14
R,1216,
R,160,
R,1216,
R,1088,
W,1216,8
R,1152,
R,1216,
W,1184,6
R,192,
R,1184,
R,1216,
R,1184,
R,256,
W,192,5
R,1216,
R,192,
R,1216,
R,1088,
W,1216,9
R,1152,
R,1216,
W,1184,7
R,224,
R,1184,
R,1216,
R,1184,
R,288,
W,224,8
R,1216,
R,224,
R,1216,
R,1088,
W,1216,10
R,1152,
R,1216,
W,1184,8
R,256,
R,1184,
R,1216,
R,1184,
R,320,
W,256,17
R,1216,
R,256,
R,1216,
R,1088,
W,1216,11
R,1152,
R,1216,
W,1184,9
R,288,
R,1184,
R,1216,
R,1184,
R,352,
W,288,21
R,1216,
R,288,
R,1216,
R,1088,
W,1216,12
R,1216,
R,1088,
W,1216,13
R,1152,
R,1216,
W,1184,10
R,320,
R,1184,
R,1216,
R,1184,
R,416,
W,320,9
R,1216,
R,320,
R,1216,
R,1088,
W,1216,14
R,1152,
R,1216,
W,1184,11
R,352,
R,1184,
R,1216,
R,1184,
R,448,
W,352,16
R,1216,
R,352,
R,1216,
R,1088,
W,1216,15
R,1152,
R,1216,
W,1184,12
R,384,
R,1184,
R,1216,
R,1184,
R,480,
W,384,4
R,1216,
R,384,
R,1216,
R,1088,
W,1216,16
R,1152,
R,1216,
W,1184,13
R,416,
R,1184,
R,1216,
R,1184,
R,512,
W,416,2
R,1216,
R,416,
R,1216,
R,1088,
W,1216,17
R,1152,
R,1216,
W,1184,14
R,448,
R,1184,
R,1216,
R,1184,
R,544,
W,448,19
R,1216,
R,448,
R,1216,
R,1088,
W,1216,18
R,1152,
R,1216,
W,1184,15
R,480,
R,1184,
R,1216,
R,1184,
R,576,
W,480,20
R,1216,
R,480,
R,1216,
R,1088,
W,1216,19
R,1152,
R,1216,
W,1184,16
R,512,
R,1184,
R,1216,
R,1184,
R,608,
W,512,11
